method,threshold,precision,recall,f1,tp,fp,fn,tn
simhash,0.38,0.5021383647798742,0.998,0.6681171548117155,1996,1979,4,21
simhash,0.4,0.5046894803548796,0.9955,0.6698065601345669,1991,1954,9,46
simhash,0.42,0.5098844672657253,0.993,0.6737913486005089,1986,1909,14,91
simhash,0.44,0.5272579332790887,0.972,0.6836644979778441,1944,1743,56,257
simhash,0.46,0.5394109396914446,0.9615,0.6911051212938005,1923,1642,77,358
simhash,0.48,0.5603907637655418,0.9465,0.7039791744142804,1893,1485,107,515
simhash,0.5,0.5826059850374065,0.9345,0.717741935483871,1869,1339,131,661
simhash,0.52,0.6501457725947521,0.892,0.7521079258010118,1784,960,216,1040
simhash,0.54,0.691566265060241,0.861,0.7670378619153676,1722,768,278,1232
simhash,0.56,0.7515865820489573,0.829,0.7883975273418924,1658,548,342,1452
simhash,0.58,0.8388732394366197,0.7445,0.7888741721854304,1489,286,511,1714
simhash,0.6,0.8839568801521877,0.697,0.7794240984064859,1394,183,606,1817
simhash,0.62,0.9089625970359916,0.644,0.7538776704711735,1288,129,712,1871
simhash,0.64,0.9433359936153233,0.591,0.7267138026437134,1182,71,818,1929
simhash,0.66,0.9807106598984772,0.483,0.6472361809045226,966,19,1034,1981
simhash,0.68,0.990909090909091,0.436,0.6055555555555556,872,8,1128,1992
simhash,0.7,0.9923469387755102,0.389,0.5589080459770115,778,6,1222,1994
simhash,0.72,0.9983660130718954,0.3055,0.4678407350689127,611,1,1389,1999
simhash,0.74,1.0,0.2595,0.41206828106391424,519,0,1481,2000
simhash,0.76,1.0,0.2255,0.36801305589555283,451,0,1549,2000
simhash,0.78,1.0,0.187,0.3150800336983993,374,0,1626,2000
simhash,0.8,1.0,0.1375,0.2417582417582418,275,0,1725,2000
simhash,0.82,1.0,0.1135,0.203861697350696,227,0,1773,2000
simhash,0.84,1.0,0.0895,0.1642955484167049,179,0,1821,2000
simhash,0.86,1.0,0.059,0.11142587346553352,118,0,1882,2000
simhash,0.88,1.0,0.0525,0.0997624703087886,105,0,1895,2000
simhash,0.9,1.0,0.0455,0.08703969392635101,91,0,1909,2000
simhash,0.92,1.0,0.038,0.07321772639691715,76,0,1924,2000
simhash,0.94,1.0,0.0305,0.059194565744784086,61,0,1939,2000
simhash,0.96,1.0,0.027,0.05258033106134372,54,0,1946,2000
simhash,0.98,1.0,0.024,0.046875,48,0,1952,2000
simhash,1.0,1.0,0.0215,0.04209495839451786,43,0,1957,2000
