method,num_pairs,threshold_used,precision,recall,f1,true_positive,false_positive,false_negative,true_negative,total_time_seconds,avg_time_per_pair_ms,lsh_candidate_rate
minhash_lsh,30,0.1,0.7,1.0,0.8235,14,6,0,10,0.012,0.3988,0.3333
simhash,30,0.46,0.5185,1.0,0.6829,14,13,0,3,0.0022,0.0726,
