method,num_pairs,threshold_used,precision,recall,f1,true_positive,false_positive,false_negative,true_negative,total_time_seconds,avg_time_per_pair_ms,lsh_candidate_rate
minhash_lsh,60,0.1,0.7,0.9333,0.8,28,12,2,18,0.0233,0.3891,0.4
simhash,60,0.46,0.5556,1.0,0.7143,30,24,0,6,0.0043,0.071,
