method,num_pairs,threshold_used,precision,recall,f1,true_positive,false_positive,false_negative,true_negative,total_time_seconds,avg_time_per_pair_ms,lsh_candidate_rate
minhash_lsh,4000,0.0,0.5,1.0,0.6667,2000,2000,0,0,59.3056,14.8264,0.0307
simhash,4000,0.58,0.8389,0.7445,0.7889,1489,286,511,1714,10.8791,2.7198,
